epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.905,0.58086,0.83168,1.07595,0.80203,0.86617,0.8913,0.80732,0.47105,0.58162,1.03177,0.00165556,0.00165556,0.00165556
2,380.423,0.62343,0.89387,1.08689,0.86,0.84255,0.90245,0.81316,0.48647,0.58219,1.01155,0.00330914,0.00330914,0.00330914
3,581.157,0.62408,0.88192,1.07547,0.82215,0.84598,0.90062,0.79966,0.52512,0.69929,1.03239,0.0049106,0.0049106,0.0049106
4,792.172,0.63867,0.89196,1.08409,0.77016,0.83685,0.86764,0.76333,0.53924,0.74019,1.05482,0.00482462,0.00482462,0.00482462
5,1004.07,0.63732,0.901,1.08232,0.82794,0.86847,0.91686,0.82191,0.50424,0.61002,1.01312,0.00469108,0.00469108,0.00469108
6,1215.51,0.63137,0.90556,1.0786,0.8253,0.84677,0.90806,0.82538,0.50185,0.62269,1.01643,0.00452302,0.00452302,0.00452302
7,1429.07,0.60702,0.86255,1.06229,0.832,0.87411,0.92887,0.8391,0.47148,0.59579,0.99223,0.0043231,0.0043231,0.0043231
8,1640.65,0.58544,0.83575,1.05074,0.86023,0.8585,0.92452,0.84033,0.48615,0.56738,1.00691,0.00409447,0.00409447,0.00409447
9,1852.19,0.58332,0.81498,1.04706,0.89087,0.84778,0.92856,0.84157,0.46443,0.56512,0.99442,0.00384073,0.00384073,0.00384073
10,2063.59,0.57512,0.81914,1.05055,0.87874,0.87937,0.93257,0.84704,0.44921,0.53887,0.98214,0.00356588,0.00356588,0.00356588
11,2275.37,0.5457,0.786,1.03221,0.87186,0.89634,0.94341,0.86311,0.42264,0.6262,0.96359,0.00327427,0.00327427,0.00327427
12,2486.68,0.55129,0.77157,1.02626,0.85555,0.90576,0.94289,0.86454,0.42057,0.5074,0.96092,0.00297048,0.00297048,0.00297048
13,2698.51,0.5294,0.75413,1.01924,0.9065,0.88268,0.9495,0.87356,0.41229,0.49216,0.95441,0.00265932,0.00265932,0.00265932
14,2909.72,0.52234,0.73011,1.01948,0.91318,0.86981,0.9458,0.87699,0.39409,0.49263,0.95061,0.00234568,0.00234568,0.00234568
15,3121.33,0.50947,0.71603,1.00727,0.86821,0.89927,0.93863,0.86612,0.3985,0.50476,0.94528,0.00203452,0.00203452,0.00203452
16,3352.17,0.46219,0.60976,0.99902,0.91109,0.8799,0.94724,0.87978,0.3742,0.46787,0.93488,0.00173073,0.00173073,0.00173073
17,3566.33,0.44573,0.57194,0.98572,0.92035,0.88169,0.95534,0.88565,0.37344,0.45157,0.93509,0.00143912,0.00143912,0.00143912
18,3780.5,0.42938,0.55709,0.97661,0.9182,0.88498,0.95687,0.89538,0.35419,0.43613,0.92327,0.00116427,0.00116427,0.00116427
19,3994.7,0.41518,0.52993,0.96756,0.89553,0.90351,0.95442,0.8954,0.36364,0.43666,0.91828,0.000910534,0.000910534,0.000910534
20,4208.62,0.4084,0.52481,0.97324,0.91812,0.89337,0.95624,0.89857,0.34276,0.42273,0.91489,0.000681901,0.000681901,0.000681901
21,4422.62,0.39735,0.50843,0.96708,0.91598,0.90829,0.96067,0.90285,0.3395,0.41178,0.91149,0.00048198,0.00048198,0.00048198
22,4636.47,0.38741,0.49068,0.95672,0.94099,0.89821,0.96318,0.90707,0.32566,0.39935,0.90372,0.000313924,0.000313924,0.000313924
23,4850.58,0.37418,0.49598,0.95212,0.94168,0.89388,0.9643,0.90906,0.3233,0.39785,0.90241,0.000180383,0.000180383,0.000180383
24,5064.48,0.38049,0.49009,0.95608,0.94097,0.89876,0.96395,0.90956,0.32311,0.39426,0.90152,8.34636e-05,8.34636e-05,8.34636e-05
25,5278.52,0.3809,0.48809,0.95357,0.94232,0.89216,0.96401,0.90985,0.32165,0.3949,0.90119,2.46935e-05,2.46935e-05,2.46935e-05
