epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,585.237,0.55339,0.74156,1.05038,0.89543,0.83301,0.91004,0.82744,0.40879,0.46732,0.95443,0.067796,0.000996,0.000996
2,1033.23,0.54029,0.71792,1.03876,0.90643,0.87199,0.93512,0.85186,0.36915,0.41611,0.93178,0.0354622,0.00199551,0.00199551
3,1422.51,0.52521,0.69391,1.0273,0.91829,0.8607,0.93085,0.84797,0.37577,0.4155,0.93659,0.00312638,0.00299305,0.00299305
4,1810.2,0.53199,0.69796,1.03127,0.90409,0.87539,0.93452,0.85393,0.36809,0.41539,0.9327,0.00299335,0.00299335,0.00299335
5,2202.99,0.51894,0.67703,1.01875,0.91641,0.88152,0.9422,0.85869,0.36883,0.40459,0.93227,0.00298818,0.00298818,0.00298818
6,2591.05,0.521,0.67459,1.02103,0.91547,0.87094,0.93821,0.8588,0.36813,0.40852,0.92605,0.00298154,0.00298154,0.00298154
7,2984.53,0.50545,0.65165,1.01002,0.9355,0.87268,0.94015,0.86157,0.36709,0.42264,0.9237,0.00297344,0.00297344,0.00297344
8,3370.17,0.50239,0.64127,1.00693,0.91267,0.88995,0.94209,0.86729,0.35432,0.39602,0.91669,0.00296389,0.00296389,0.00296389
9,3763.8,0.5001,0.64007,1.00908,0.92891,0.87857,0.94238,0.86443,0.35326,0.38292,0.91674,0.0029529,0.0029529,0.0029529
10,4151.79,0.50057,0.63501,1.00948,0.92681,0.88826,0.9476,0.87453,0.3475,0.37049,0.91285,0.00294047,0.00294047,0.00294047
11,4545.59,0.49056,0.62301,1.00296,0.92444,0.88969,0.9472,0.87216,0.35139,0.37895,0.91502,0.00292662,0.00292662,0.00292662
12,4930.79,0.48542,0.61209,0.99781,0.91617,0.88196,0.94174,0.87091,0.3427,0.38452,0.90901,0.00291137,0.00291137,0.00291137
13,5325.62,0.4844,0.61256,0.99751,0.92972,0.90358,0.95301,0.88001,0.34185,0.35334,0.90639,0.00289472,0.00289472,0.00289472
14,5795.09,0.4769,0.60375,0.99291,0.92423,0.89624,0.94791,0.87995,0.3353,0.35886,0.9015,0.00287669,0.00287669,0.00287669
15,6190.78,0.4707,0.59734,0.98926,0.93722,0.89064,0.95156,0.8814,0.33788,0.34949,0.90443,0.00285731,0.00285731,0.00285731
16,6578.99,0.47208,0.59538,0.99024,0.93538,0.89773,0.95333,0.88515,0.33573,0.35514,0.90097,0.00283659,0.00283659,0.00283659
17,6971.28,0.46541,0.5893,0.98626,0.94406,0.90179,0.9555,0.88558,0.3332,0.34575,0.89846,0.00281455,0.00281455,0.00281455
18,7357.45,0.46966,0.58879,0.9911,0.9232,0.90319,0.95292,0.88177,0.32811,0.34246,0.89933,0.00279122,0.00279122,0.00279122
19,7751.7,0.4628,0.58411,0.98835,0.92408,0.89898,0.95419,0.88529,0.32048,0.33725,0.89295,0.00276661,0.00276661,0.00276661
20,8138.54,0.47041,0.58431,0.99099,0.93683,0.88973,0.95339,0.88621,0.33348,0.34955,0.89439,0.00274075,0.00274075,0.00274075
21,8532.5,0.46317,0.58225,0.98352,0.93349,0.90117,0.95465,0.89016,0.32417,0.34653,0.89419,0.00271367,0.00271367,0.00271367
22,8917.8,0.46152,0.57786,0.9845,0.939,0.89943,0.95536,0.8877,0.3152,0.33155,0.89241,0.00268539,0.00268539,0.00268539
23,9310.42,0.45882,0.56836,0.98256,0.93084,0.90093,0.95438,0.88726,0.32007,0.33642,0.89119,0.00265594,0.00265594,0.00265594
24,9696.7,0.45178,0.56068,0.97691,0.9351,0.91263,0.95823,0.894,0.31652,0.32764,0.88956,0.00262535,0.00262535,0.00262535
25,10087,0.45175,0.56377,0.97797,0.92503,0.91566,0.95466,0.88906,0.3075,0.3302,0.88471,0.00259366,0.00259366,0.00259366
26,10473.9,0.44513,0.55206,0.97225,0.94312,0.91248,0.95859,0.89041,0.31694,0.31752,0.88972,0.00256088,0.00256088,0.00256088
27,10868.5,0.44805,0.55527,0.97661,0.92971,0.91446,0.95836,0.89116,0.30573,0.32241,0.88338,0.00252706,0.00252706,0.00252706
28,11255.7,0.44555,0.55511,0.97263,0.93873,0.89609,0.95684,0.89386,0.30062,0.32045,0.87909,0.00249222,0.00249222,0.00249222
29,11648.2,0.44108,0.54698,0.97343,0.93964,0.90818,0.96179,0.89673,0.29948,0.31249,0.88005,0.00245641,0.00245641,0.00245641
30,12036.4,0.44286,0.54807,0.9744,0.93444,0.90633,0.95806,0.89463,0.30696,0.33053,0.88345,0.00241965,0.00241965,0.00241965
31,12429.8,0.43652,0.54121,0.96837,0.94821,0.90897,0.9627,0.90111,0.30337,0.30557,0.87767,0.00238199,0.00238199,0.00238199
32,12816.3,0.43338,0.53122,0.96576,0.9313,0.91165,0.95876,0.89722,0.29389,0.31196,0.87728,0.00234345,0.00234345,0.00234345
33,13211.7,0.43827,0.54256,0.9709,0.94935,0.90539,0.9627,0.89923,0.30337,0.30701,0.87872,0.00230409,0.00230409,0.00230409
34,13599.1,0.43618,0.54055,0.97106,0.93161,0.92029,0.96181,0.90112,0.29936,0.30537,0.87814,0.00226393,0.00226393,0.00226393
35,13991.9,0.42567,0.52909,0.96202,0.93403,0.91598,0.96163,0.8996,0.29108,0.3018,0.87518,0.00222302,0.00222302,0.00222302
36,14378.1,0.4298,0.53017,0.96704,0.93644,0.92086,0.96128,0.89939,0.2864,0.30105,0.87295,0.0021814,0.0021814,0.0021814
37,14770.2,0.43018,0.53434,0.96945,0.94598,0.9191,0.96568,0.90439,0.29698,0.29344,0.87612,0.0021391,0.0021391,0.0021391
38,15157.4,0.42672,0.52652,0.96413,0.94091,0.91469,0.96287,0.90203,0.28899,0.29517,0.87463,0.00209617,0.00209617,0.00209617
39,15550.6,0.42003,0.52432,0.96114,0.94758,0.91004,0.96241,0.90358,0.28682,0.29599,0.86845,0.00205266,0.00205266,0.00205266
40,15937.2,0.42195,0.52016,0.96038,0.94539,0.91278,0.9632,0.90139,0.29306,0.29326,0.87325,0.0020086,0.0020086,0.0020086
41,16306.6,0.41965,0.51678,0.95966,0.941,0.91697,0.96436,0.90416,0.28731,0.29115,0.86937,0.00196404,0.00196404,0.00196404
42,16688.7,0.41387,0.51169,0.9586,0.94669,0.91961,0.96523,0.90649,0.28599,0.28874,0.86968,0.00191903,0.00191903,0.00191903
43,17078.3,0.41628,0.51247,0.95949,0.94538,0.91553,0.96495,0.9067,0.27869,0.28572,0.86715,0.0018736,0.0018736,0.0018736
44,17855.1,0.41777,0.51514,0.96034,0.94388,0.9228,0.96552,0.90862,0.27954,0.28479,0.86695,0.0018278,0.0018278,0.0018278
45,18242.9,0.41249,0.50907,0.95723,0.93883,0.92159,0.9654,0.90824,0.28472,0.28559,0.8696,0.00178168,0.00178168,0.00178168
46,18625.2,0.40821,0.50333,0.95522,0.94984,0.914,0.96423,0.90827,0.2778,0.28515,0.86803,0.00173528,0.00173528,0.00173528
47,19013.7,0.40785,0.5029,0.95777,0.94058,0.92016,0.9653,0.90873,0.27182,0.27891,0.8646,0.00168866,0.00168866,0.00168866
48,19394,0.40442,0.49709,0.95341,0.94116,0.92969,0.96716,0.91137,0.2717,0.27777,0.86296,0.00164184,0.00164184,0.00164184
49,19781,0.40659,0.49537,0.95571,0.94264,0.92404,0.96613,0.91086,0.26932,0.27907,0.8612,0.00159489,0.00159489,0.00159489
50,20165,0.40399,0.50124,0.95341,0.95064,0.91431,0.96598,0.91005,0.27196,0.2778,0.86182,0.00154784,0.00154784,0.00154784
51,20625.5,0.4045,0.49754,0.95488,0.94798,0.92453,0.96658,0.9108,0.27181,0.27624,0.85985,0.00150075,0.00150075,0.00150075
52,21007.7,0.40191,0.49461,0.95422,0.94815,0.92144,0.96773,0.91187,0.27113,0.27371,0.86163,0.00145366,0.00145366,0.00145366
53,21395.9,0.39833,0.48654,0.95147,0.95771,0.91876,0.96802,0.91276,0.26623,0.2707,0.8592,0.00140661,0.00140661,0.00140661
54,21778.9,0.39472,0.4841,0.94989,0.95479,0.91852,0.96805,0.91288,0.26392,0.26952,0.85914,0.00135966,0.00135966,0.00135966
55,22167.7,0.3999,0.49181,0.95396,0.96175,0.91493,0.96852,0.9141,0.26105,0.26721,0.85647,0.00131284,0.00131284,0.00131284
56,22551.9,0.39706,0.48709,0.95059,0.94747,0.92217,0.96684,0.91506,0.26249,0.26807,0.85711,0.00126622,0.00126622,0.00126622
57,22975,0.39623,0.4852,0.94931,0.95272,0.92064,0.96827,0.91439,0.26615,0.26551,0.85806,0.00121982,0.00121982,0.00121982
